ADDRESS,TOTAL_STAKED,LP_DEPOSIT_VOLUME,LP_DEPOSIT_COUNT,LP_POOL_COUNT,LP_PLATFORM_COUNT,LENDING_DEPOSIT_VOLUME,LENDING_DEPOSIT_TX_COUNT,BORROW_VOLUME,BORROW_TX_COUNT,TOTAL_STABLECOIN_SWAPPED_OUT,NFT_TX_COUNT,NFT_PURCHASE_VOLUME,DISTINCT_NFT_MARKETS,TOTAL_MINTS,DISTINCT_NFT_COLLECTIONS,STABLECOIN_SENT_VOLUME,UNIQUE_TOKENS,TX_PER_WEEK,AVG_TX_VALUE,TOTAL_SENT_TO_CONTRACTS,TOTAL_DISTINCT_CONTRACTS,DAYS_ACTIVE,TENURE_IN_WEEKS,DAYS_SINCE_LAST_SEEN,GOVERNANCE_VOTE_COUNT
0x009c7ec438bed858d8987d5d3baece6bd8a03854,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,1999.25,1,9.333333,999.58,0,2,3,8,33,"null"
0x00eaea64fef053dfec29f40fed9ca386dbb37b1d,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,3,21.617647,10955.907129799,0,38,34,13,1,"null"
0x00c56e17a0f916436b07855ffae0286b1205342e,"null",1645.151725639,1,2,2,"null","null","null","null",0,0,0,0,0,0,0,1,7,833.67,833.67,1,1,9,66,"null"
0x0c04af8430fbbe422b6d38547230ad6cf919d8ef,0,189.491371782,1,3,2,"null","null","null","null",189.75,0,0,0,0,0,226.33,2,56,119.0225,126.34,5,1,11,76,"null"
0x0b19aad6602304e09844b9c17f68778efb6c2a4b,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,10.02,2,28,5.125,0,2,1,11,75,"null"
0x0306af5d749418fcf43b842e8a2c9098bcb0fcd3,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,2010,2,21,1340.013333333,0,1,1,6,41,"null"
0x06c83f1ad1c136a877d1859b49dd9c4a2bc0d7b2,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,199.52,1,14,99.7575,0,2,2,8,40,"null"
0x074316f8775213b1ca80edcabc3e1481a9493a17,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,25.9,2,28,12.9475,0,1,1,5,39,"null"
0x03059550e7b14c7531dec27ff523a29a5a96ad42,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,8642.06,2,17.5,1152.274666667,0,5,6,12,24,"null"
0x0508efed1025ab8ab05b06e304fd47aa72ca0e74,0,0.02086154252,1,1,1,"null","null","null","null",0,0,0,0,0,0,997.74,3,35,149.927,998.12,6,2,5,35,"null"
0x0b718909ed58822f9ab020da14d2a93553054bf5,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,35.39,2,21,23.606666667,0,1,1,9,65,"null"
0x0899c51b5246d2b45072f65d09f429cef3807687,0,50.014943275,2,1,1,"null","null","null","null",0,0,0,0,0,0,0,2,42,45.368333333,50.01,3,1,2,17,"null"
0x075e5725a44651d27db408f083bf9763673caaf1,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,516.03,3,17.5,146.164,516.58,4,2,12,75,"null"
0x0917c0def92ad3aee6062f1c83d5f0005bd1572c,0,63.223179063,1,1,1,"null","null","null","null",0,0,0,0,0,0,0,2,21,63.036666667,63.22,2,1,8,55,"null"
0x0b5686c57a6b55df9c5349c133c1cde102f0ee76,0,1375.350770572,17,22,5,13.57,1,"null","null",690.05,0,0,0,0,0,1175,5,77,46.819220779,1816.96,46,7,4,13,"null"
0x03df4a43c01ca4ed1af133b72becd858a26cd07b,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,224.51,1,14,112.255,0,2,2,11,52,"null"
0x018818c2af0ce8ca6e2ac79f151051bc7b04d478,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,371.69,2,21,123.916666667,0,2,2,10,52,"null"
0x053d029de195baaef1efd5da6ef282cbd810e49b,0,671.697656536,6,5,3,"null","null","null","null",53.52,0,0,0,149,1,1121.12,5,32.375,86.730810811,1203.73,11,8,12,4,"null"
0x097bf06346f98a9bf3bf0be8954bcef85424173c,0,19.824742275,1,1,1,"null","null","null","null",19.82,0,0,0,2,1,31280.44,2,151.083333,241.986718147,20,76,12,1,1,"null"
0x06e6a922a2216c99eb474e22498158481a9d3c76,44.9,125.509134399,3,7,3,47.09,1,26.14,1,36.84,0,0,0,1,1,0,5,45.5,19.868461538,180.36,11,4,12,65,"null"
0x022bf90c5c15f4211511384e16e3e70374c4e5ff,0,34.987229758,2,1,1,53.63,2,20.18,1,0,0,0,0,0,0,39.98,3,29.166667,28.1504,123.61,11,6,12,66,"null"
0x00c00e1ea747adcdf904d126eab3182633f37f8f,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,349961.9,2,35,139990.88,349971.97,2,1,4,30,"null"
0x0755d7d7b06d8bb3286ee6fdbe96b674a2648994,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,1514.05,2,21,1009.38,0,1,1,9,61,"null"
0x007fb86b75180c4db81eb67807b66ab5d30204ec,0,37.643355844,2,1,1,"null","null","null","null",0,0,0,0,0,0,0,2,42,18.875,37.64,3,1,9,63,"null"
0x047ffc5fc3f7ba3d512991361117c5dfd3d50322,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,19870.47,2,14,9932.98,0,1,2,11,75,"null"
